Plant_Name,Scientific_Name,Protein_Seq,Identical_Protein_Groups,Protein,NCBI_link
Huang qi,Astragalus membranaceus,792,284,"1,190",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/649199/
Hyssop,Dracocephalum officinale,204,107,204,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39324/
Indian bael,Aegle marmelos,236,140,247,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/68527/
Indian Sandalwood / White sandalwood / Chandana,Santalum album,844,368,"1,719",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/35974/
Ipecac,Carapichea ipecacuanha,46,40,48,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/77880/
Irish moss,Chondrus crispus,"20,179","9,784","20,273",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/2769/
Isabgol,Plantago ovata,610,260,615,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/185002/
Ivy,Hedera helix,783,249,"45,593",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4052/
Jamun / Jaman / Jambolan / Java-plum,Syzygium cumini,489,209,"8,930",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/260142/
Jasmine / Common Jasmine,Jasminum officinale,1,1,23,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/126433/
Jatamansi,Nardostachys jatamansi,238,148,238,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/179860/
Javanese turmeric / Temu lawak,Curcuma xanthorrhiza,310,115,310,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/136222/
Jharberi / Chanibor / Chanya-bor,Ziziphus nummularia (Burm.f.) Wight & Arn.,22,17,22,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/498071/
Jiaogulan,Gynostemma pentaphyllum,"1,447",243,"1,721",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/182084/
Jimikand / Elephant yam,Amorphophallus paeoniifolius var. campanulatus,8,100,244,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/203634/
John's wort,Hypericum perforatum,606,377,"11,339",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/65561/
Jojoba / Goatnut,Simmondsia chinensis,318,141,"10,028",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3999/
Kaffir lime,Citrus hystrix,106,96,"18,792",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/170989/
Kadirkasth / Cutch Tree,Senegalia catechu,197,91,198,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/138017/
Kaju,Anacardium occidentale L.,220,137,"1,127",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/171929/
Kakrai,Abutilon pannosum (Forst.) Schlect.,7,5,9,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1917650/
Kalijhant,Adiantum philippense L.,83,32,84,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1073793/
kaner,Nerium oleander,360,174,"42,321",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/63479/
Kanghi / Kakahi,Abutilon indicum (L.) Sweet,203,133,"8,189",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/318060/
Kantikari / Eggplant / Yellow-fruit nightshade / Aubergine,Solanum virginianum,326,205,334,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/223891/
Karanj seed,Pongamia pinnata,421,202,700,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/56065/
Karvanda,Carissa spinarum L.,20,15,20,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/429256/
Kauch beej,Mucuna pruriens,"56,285","56,150","56,401",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/157652/
Kava,Piper methysticum,38,37,50,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/130404/
Kesar / Saffron,Crocus sativus,785,518,"22,323",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/82528/
Ketaki / Crepe Ginger,Hellenia speciosa,622,145,624,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/49577/
Kirayte,Andrographis paniculata (Burm.f.) wall.,"40,323","31,898","40,392",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/175694/
Kokum,Garcinia indica,101,93,101,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/547469/
Konjac / Devil's-tongue / Elephant-yam / Konnyaku / mo-yu,Amorphophallus konjac,354,135,"63,987",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/78372/
Korean Mint / Purple giant hyssop,Agastache rugosa,407,136,536,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39271/
Kulanjan / Greater galangal / Siamese-ginger,Alpinia galanga,266,142,280,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/94327/
Kurchi / Nagalkudo / Tellicherry bark,Holarrhena pubescens,43,32,43,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/69381/
Kuthap,Clerodendrum chinense,179,86,179,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/54464/
Kutki,Picrorhiza kurrooa,68,63,74,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/195120/
Lady's mantle,Alchemilla vulgaris,7,7,23,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/49855/
Lai peruk,Hydrocotyle sibthorpioides,618,137,618,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4049/
Latjira,Achyranthes aspera,359,181,365,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/240005/
Lavender,Lavandula angustifolia,594,297,787,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39329/
Lemon,Citrus limon,"1,563","1,120","36,443",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/2708/
Lemon Balm / Common balm / Sweet balm,Melissa officinalis,310,135,344,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/39338/
Lemongrass,Cymbopogon citratus,327,164,359,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/66014/
Lemon verbena,Aloysia citrodora,455,113,455,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/925377/
Lettuce,Lactuca sativa,"94,388","69,936","1,71,640",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4236/
Licorice / Mulethi,Glycyrrhiza glabra,"1,422",570,"1,784",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/49827/
Long pepper / Pippali,Piper longum,199,105,211,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/49511/
Lovage,Levisticum officinale,90,85,90,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/48042/
Ma Huang,Ephedra sinica,459,165,468,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/33152/
Madhu Malati / Rangoon Creeper / Burma Creeper / Chinese Honeysuckle / Parijat,Combretum indicum,211,102,230,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3956/
Mahoor,Aconitum novoluridum,1,1,1,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/1905856/
Makoy,Solanum nigrum,"1,049",580,"6,472",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4112/
Malabar Nut,Justicia adhatoda,344,138,348,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/141317/
Malkangiri / Staff Tree,Celastrus paniculatus,187,98,187,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/994668/
Mallow,Malva sylvestris,43,33,119,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/145754/
Man orchid,Orchis mascula,13,9,13,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/59338/
Mango,Mangifera indica,"54,010","42,543","1,50,513",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/29780/
Manjistha,Rubia cordifolia,428,184,500,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/339321/
Marigold,Tagetes erecta Linn.,"36,445","35,693","63,209",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/13708/
Marsh mallow / White mallow,Althaea officinalis,206,115,207,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/145745/
Milk thistle / Holy thistle / Lady's thistle,Silybum marianum,486,232,509,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/92921/
Moringa / Horseradish tree / Drumstick tree,Moringa oleifera,615,216,659,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3735/
Mugwort,Artemisia vulgaris,308,164,"8,728",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/4220/
Mulberry,Morus spp.,"70,720","46,195","1,51,866",https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3497/
Myrobalan / Black myrobalan / harra / Haritaki,Terminalia chebula,270,111,270,https://www.ncbi.nlm.nih.gov/datasets/taxonomy/155022/
